[34] 39452 {index_type: HNSW, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 31, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1975, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10658, dataNode*segment*insertBufSize: 1489090280, rootCoord*minSegmentSizeToEnableIndex: 475} 499.5764257619885 1635.564565683002 28.702152603000286 348.4059240544447 0.99918 1688
[35] 40349 {index_type: SCANN, nlist: 1640, nprobe: 114, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1041, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18007, dataNode*segment*insertBufSize: 1008735080, rootCoord*minSegmentSizeToEnableIndex: 598} 523.4557239650021 862.5709877960035 10.27896315700491 972.8607688592792 0.99264 897
[36] 41314 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 320, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29664, dataNode*segment*insertBufSize: 1728808067, rootCoord*minSegmentSizeToEnableIndex: 510} 522.6764656559972 934.6429094149935 7.816622596990783 1279.3249099489294 0.95086 965
[37] 42515 {index_type: IVF_SQ8, nlist: 3411, nprobe: 34, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1031, dataCoord*segment*sealProportion: 0.45, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26764, dataNode*segment*insertBufSize: 1270944156, rootCoord*minSegmentSizeToEnableIndex: 845} 548.5823183219909 1161.9353177829908 15.189945138990879 658.3302249282735 0.9432300000000001 1200
[38] 44109 {index_type: IVF_PQ, nlist: 3121, nprobe: 405, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 551, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16891, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 549.5044926389965 1535.1726762540056 21.02819846700004 475.5519126230996 0.13109 1594
[39] 45404 {index_type: HNSW, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 34, efConstruction: 275, ef: 472, reorder_k: 500} {dataCoord*segment*maxSize: 2218, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15592, dataNode*segment*insertBufSize: 1428225003, rootCoord*minSegmentSizeToEnableIndex: 642} 513.6360945320048 1258.4917160070036 12.796214046000387 781.4811446613479 0.99945 1294
[40] 46218 {index_type: SCANN, nlist: 1856, nprobe: 167, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1532, dataCoord*segment*sealProportion: 0.39, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 34574, dataNode*segment*insertBufSize: 934171987, rootCoord*minSegmentSizeToEnableIndex: 1102} 514.8573942239891 779.868097981991 10.773481841999455 928.205026625273 0.9914699999999999 813
[41] 47621 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 424, dataCoord*segment*sealProportion: 0.47, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 43149, dataNode*segment*insertBufSize: 1411773825, rootCoord*minSegmentSizeToEnableIndex: 896} 524.5085163469921 1373.0959188839915 7.738599461008562 1292.223489584343 0.8999 1403
[42] 48720 {index_type: IVF_SQ8, nlist: 1996, nprobe: 439, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2851, dataCoord*segment*sealProportion: 0.55, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 38640, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 360} 532.3371540849912 1002.5343445829931 70.6089389109984 141.62512784117692 0.9646 1098
[43] 50529 {index_type: IVF_PQ, nlist: 2543, nprobe: 381, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.1, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 54343, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 0 0 0 18.43219257225891 0.0212 1809
