[38] 6580 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 23, efConstruction: 220, ef: 537, reorder_k: 500} {dataCoord*segment*maxSize: 2773, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 22066, dataNode*segment*insertBufSize: 1617711726, rootCoord*minSegmentSizeToEnableIndex: 1102} 65.89681402995484 166.2056546229869 9.674822170985863 1033.6107292999477 0.9543200000000001 201
[39] 6711 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 633} {dataCoord*segment*maxSize: 2287, dataCoord*segment*sealProportion: 0.12, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18677, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1062} 68.15008112997748 96.88804642198374 9.206658827024512 1086.170367326611 0.9996299999999999 131
[40] 6874 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29550, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1070} 63.37557968701003 122.83471954398556 11.398734882008284 877.2903399818482 0.77189 162
[41] 7020 {index_type: IVF_SQ8, nlist: 720, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1401, dataCoord*segment*sealProportion: 0.03, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13596, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1186} 62.91897831001552 100.71025656897109 7.059645769011695 1416.501666966774 0.7503400000000001 146
[42] 7222 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 29, efConstruction: 256, ef: 536, reorder_k: 500} {dataCoord*segment*maxSize: 1201, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 31696, dataNode*segment*insertBufSize: 84957643, rootCoord*minSegmentSizeToEnableIndex: 1143} 69.07232497801306 163.88937980198534 11.656922992959153 857.859317252079 0.9849400000000001 201
[43] 7597 {index_type: SCANN, nlist: 2418, nprobe: 507, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 485} {dataCoord*segment*maxSize: 971, dataCoord*segment*sealProportion: 0.08, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 999} 67.31466794299195 197.79157967097126 151.31939410202904 66.08538224292236 0.98916 374
[44] 7763 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2699, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12730, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1018} 66.882615273993 131.93736674298998 7.374590507999528 1356.0074948097226 0.6627200000000001 165
[45] 7919 {index_type: IVF_SQ8, nlist: 1238, nprobe: 12, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1596, dataCoord*segment*sealProportion: 0.05, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6980, dataNode*segment*insertBufSize: 71729287, rootCoord*minSegmentSizeToEnableIndex: 1150} 60.8234709490207 110.6841300240485 7.142613981966861 1400.0476611570014 0.7830500000000001 155
[46] 8137 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 27, efConstruction: 219, ef: 395, reorder_k: 500} {dataCoord*segment*maxSize: 2748, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 33853, dataNode*segment*insertBufSize: 1416574382, rootCoord*minSegmentSizeToEnableIndex: 1153} 69.00863315502647 175.88457489700522 9.594035301997792 1042.3142801984138 0.9493900000000002 218
[47] 8278 {index_type: IVF_SQ8, nlist: 1027, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2958, dataCoord*segment*sealProportion: 0.05, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 5599, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1239} 67.62498506403062 101.39560622401768 7.141250171000138 1400.3150373598369 0.7687 141
[48] 8420 {index_type: SCANN, nlist: 526, nprobe: 120, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 496} {dataCoord*segment*maxSize: 1667, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29005, dataNode*segment*insertBufSize: 160375904, rootCoord*minSegmentSizeToEnableIndex: 1132} 69.0056610039901 101.75527598301414 8.134915658039972 1229.2690447400903 0.9785799999999999 142
[49] 8581 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1737, dataCoord*segment*sealProportion: 0.18, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16593, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 842} 61.59380604297621 127.70790587295778 7.3011242800275795 1369.6520722644411 0.65602 161
[50] 8945 {index_type: IVF_SQ8, nlist: 1418, nprobe: 14, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.06, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1383376089, rootCoord*minSegmentSizeToEnableIndex: 1271} 69.60169581801165 173.86098425003001 158.12944685097318 63.23932827909248 0.79287 363
[51] 9081 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 481} {dataCoord*segment*maxSize: 696, dataCoord*segment*sealProportion: 0.15, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9467, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 67.57423271902371 104.84487262001494 8.443647331965622 1184.3223203013704 0.9996799999999999 136
[52] 9241 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1453, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13573, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 3065} 65.29133990901755 130.85434827802237 7.567676903039683 1321.4094798343378 0.6646000000000001 160
[53] 9370 {index_type: IVF_SQ8, nlist: 1060, nprobe: 10, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2184, dataCoord*segment*sealProportion: 0.1, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 22674, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 913} 65.35353173897602 98.63141409598757 7.300472689035814 1369.7743181778435 0.7669500000000001 128
[54] 9504 {index_type: SCANN, nlist: 750, nprobe: 45, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 472} {dataCoord*segment*maxSize: 2984, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 40694, dataNode*segment*insertBufSize: 1243297141, rootCoord*minSegmentSizeToEnableIndex: 813} 63.39837684499798 104.68278910702793 7.412523883976974 1349.0681657857663 0.91817 134
[55] 9662 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2602, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 42803, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 952} 64.13761698396411 128.68944476096658 7.496383794990834 1333.9765243452596 0.6583600000000001 157
[56] 9791 {index_type: IVF_SQ8, nlist: 781, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2114, dataCoord*segment*sealProportion: 0.05, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12455, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 3141} 64.62903723801719 95.87759645399638 7.1069837380200624 1407.066678160981 0.74247 128
[57] 9947 {index_type: IVF_SQ8, nlist: 1221, nprobe: 219, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2344, dataCoord*segment*sealProportion: 0.04, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12356, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 635} 60.82166709296871 107.64748367498396 23.182053127966356 431.36817713251656 0.9646900000000002 156
