[41] 34477 {index_type: IVF_PQ, nlist: 962, nprobe: 11, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1166, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13006, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1378} 380.72807902889326 529.7501660580747 8.11747207539156 1231.9106129499844 0.09769000000000001 564
[42] 35592 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 28, efConstruction: 255, ef: 525, reorder_k: 500} {dataCoord*segment*maxSize: 1066, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17991, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2181} 375.92570278281346 1047.6284637539648 26.639731702394783 375.3791559057274 0.99964 1115
[43] 36163 {index_type: SCANN, nlist: 203, nprobe: 9, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 535} {dataCoord*segment*maxSize: 832, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6271, dataNode*segment*insertBufSize: 402522041, rootCoord*minSegmentSizeToEnableIndex: 1230} 378.64901675330475 531.8160152509809 8.408263645134866 1189.3061899630293 0.9672700000000001 570
[44] 37417 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 792, dataCoord*segment*sealProportion: 0.46, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 100, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 831} 370.7171412347816 909.7360907737166 315.3406994836405 31.711732790517225 0.86623 1253
[45] 38089 {index_type: IVF_PQ, nlist: 1289, nprobe: 12, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2231, dataCoord*segment*sealProportion: 0.48, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13020, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1286} 386.4833263847977 622.4826793116517 7.794943634886295 1282.8829133856682 0.10438000000000001 671
[46] 39220 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 29, efConstruction: 257, ef: 517, reorder_k: 500} {dataCoord*segment*maxSize: 1893, dataCoord*segment*sealProportion: 0.43, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11136, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1422} 365.98014371609315 1078.8300228063017 23.542760458774865 424.7590259226716 0.9995 1131
[47] 40359 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 24, efConstruction: 288, ef: 511, reorder_k: 500} {dataCoord*segment*maxSize: 4233, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16984, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1747} 373.8657675390132 1078.1968898661435 31.391832325141877 318.5541989529216 0.9994799999999999 1138
[48] 40911 {index_type: SCANN, nlist: 1251, nprobe: 18, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 551} {dataCoord*segment*maxSize: 1737, dataCoord*segment*sealProportion: 0.53, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11386, dataNode*segment*insertBufSize: 158785802, rootCoord*minSegmentSizeToEnableIndex: 1153} 388.88387252390385 504.76087975967675 7.370980510022491 1356.6716105683322 0.9509900000000001 552
[49] 41818 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.61, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6095, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2510} 384.1984403510578 864.607070252765 12.306708110962063 812.5649775582644 0.96136 906
[50] 43087 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 33, efConstruction: 304, ef: 404, reorder_k: 500} {dataCoord*segment*maxSize: 2176, dataCoord*segment*sealProportion: 0.53, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11342, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 781} 385.13222443684936 1197.7306532426737 26.842375302221626 372.54527169852753 0.9995200000000001 1268
[51] 43797 {index_type: SCANN, nlist: 1, nprobe: 1, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 437} {dataCoord*segment*maxSize: 156, dataCoord*segment*sealProportion: 0.58, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6466, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1417} 365.81153439730406 643.571298730094 29.740890045184642 336.2374153835757 0.99944 710
[52] 44851 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1389, dataCoord*segment*sealProportion: 0.59, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 6399, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 801} 389.8107838011347 1000.684730971232 14.620519711636007 683.9702142763994 0.85836 1054
[53] 45690 {index_type: HNSW, nlist: 128, nprobe: 7, m: 6, nbits: 8, M: 27, efConstruction: 211, ef: 499, reorder_k: 500} {dataCoord*segment*maxSize: 3014, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12035, dataNode*segment*insertBufSize: 141348902, rootCoord*minSegmentSizeToEnableIndex: 384} 383.6506344419904 804.8562268069945 11.222478945739567 891.0687245081746 0.99897 839
