[34] 14868 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 255, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1581, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16074, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1568} 132.9773664479726 604.8441833059769 4.376619312039111 228.486859080757 0.9959000000000001 632
[35] 15258 {index_type: SCANN, nlist: 93, nprobe: 11, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1102, dataCoord*segment*sealProportion: 0.36, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 15942, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1837} 140.1590089519741 363.6871595949633 2.976073925034143 336.01315867465473 0.9542 390
[36] 15763 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.29, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 28340, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1221} 144.6044537589769 478.8717564960243 3.8576801599701867 259.2231492845504 0.9027000000000001 504
[37] 16022 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 20, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1056, dataCoord*segment*sealProportion: 0.16, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13454, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1945} 137.7935172059806 229.81591480597854 5.716700938995928 174.92606499293953 0.11880000000000002 258
[38] 16742 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 36, efConstruction: 271, ef: 556, reorder_k: 500} {dataCoord*segment*maxSize: 1270, dataCoord*segment*sealProportion: 0.31, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 14641, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1967} 140.32166636595502 689.8028858149773 6.312797311984468 158.40838071920348 0.9969 720
[39] 17200 {index_type: SCANN, nlist: 9, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1211, dataCoord*segment*sealProportion: 0.32, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 12937, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1942} 142.25875041401014 430.5117146479897 2.496425785997417 400.57269301136546 0.6867 458
[40] 17649 {index_type: AUTOINDEX, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 941, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 9677, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1605} 135.56430480798008 422.8697319650091 2.2300721829524264 448.4159784801606 0.7008 448
[41] 17880 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 4, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1077, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 7889, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 2425} 124.87776303599821 202.51916574896313 2.9812707070377655 335.4274395945797 0.0175 230
[42] 18551 {index_type: HNSW, nlist: 128, nprobe: 8, m: 10, nbits: 8, M: 34, efConstruction: 298, ef: 639, reorder_k: 500} {dataCoord*segment*maxSize: 1244, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18387, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1308} 135.06003580900142 639.7939835319994 6.356244950031396 157.3255920533806 0.9972000000000001 670
[43] 19028 {index_type: SCANN, nlist: 419, nprobe: 58, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 501} {dataCoord*segment*maxSize: 705, dataCoord*segment*sealProportion: 0.33, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 17647, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1257} 131.85516515001655 448.820882902015 2.882863898004871 346.8772843185781 0.992 477
