[34] 4780 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 26, efConstruction: 190, ef: 601, reorder_k: 500} {dataCoord*segment*maxSize: 1651, dataCoord*segment*sealProportion: 0.19, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 18791, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1338} 44.328359647654 96.98018084745854 10.871534726582468 919.8333309416342 0.98541 131
[35] 4961 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 498} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.06, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 20937, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 45.3198022916913 149.66756077855825 8.429290503263474 1186.3394666642955 0.99985 180
[36] 5085 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 991, dataCoord*segment*sealProportion: 0.26, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 27881, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 557} 46.747119090519845 94.8623139243573 7.4692139737308025 1338.8289631506022 0.67025 124
[37] 5227 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 20, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1544, dataCoord*segment*sealProportion: 0.24, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 13080, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1017} 46.43168331310153 67.61775237228721 52.351717269048095 191.01570152145325 0.36879 142
[38] 5387 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 30, efConstruction: 242, ef: 510, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.79, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 87242, dataNode*segment*insertBufSize: 4148585487, rootCoord*minSegmentSizeToEnableIndex: 8393} 45.57632348034531 128.7955381060019 9.402965662069619 1063.4942590866563 0.97031 159
[39] 5496 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 279} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.78, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 87479, dataNode*segment*insertBufSize: 4614289941, rootCoord*minSegmentSizeToEnableIndex: 8223} 47.73524413816631 77.95265072863549 10.59426533151418 943.9068861390085 0.9817900000000002 109
[40] 5637 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 9918, dataCoord*segment*sealProportion: 0.78, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 54861, dataNode*segment*insertBufSize: 4097535902, rootCoord*minSegmentSizeToEnableIndex: 8102} 49.85373583808541 113.89261396415532 6.813398488797247 1467.6963363352722 0.58813 141
[41] 5758 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1868, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 10676, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1346} 45.24702190235257 61.929063375107944 33.50030708219856 298.5047264033533 0.15601 120
[42] 5885 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 14, efConstruction: 173, ef: 529, reorder_k: 500} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.79, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 77056, dataNode*segment*insertBufSize: 4903477045, rootCoord*minSegmentSizeToEnableIndex: 8483} 45.53195737209171 96.95046002510935 8.324933249503374 1201.2108326029584 0.92056 127
[43] 6025 {index_type: SCANN, nlist: 2616, nprobe: 8, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 605} {dataCoord*segment*maxSize: 10000, dataCoord*segment*sealProportion: 0.79, queryCoord*autoHandoff: True, queryCoord*autoBalance: False, common*gracefulTime: 75333, dataNode*segment*insertBufSize: 5116230141, rootCoord*minSegmentSizeToEnableIndex: 8631} 47.692380170337856 110.63023044168949 6.89829911198467 1449.6327047672708 0.67867 139
[44] 6156 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 876, dataCoord*segment*sealProportion: 0.22, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 25773, dataNode*segment*insertBufSize: 2580273595, rootCoord*minSegmentSizeToEnableIndex: 100} 47.9589071739465 101.57839050143957 7.634960550814867 1309.7644622319256 0.6427799999999999 130
[45] 6252 {index_type: IVF_PQ, nlist: 119, nprobe: 4, m: 20, nbits: 5, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 2363, dataCoord*segment*sealProportion: 0.25, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 16380, dataNode*segment*insertBufSize: 40294960, rootCoord*minSegmentSizeToEnableIndex: 1355} 45.10120360646397 57.7578536728397 9.429954620078206 1060.4504902609028 0.24925 95
