[34] 14954 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 196, ef: 480, reorder_k: 500} {dataCoord*segment*maxSize: 534, dataCoord*segment*sealProportion: 0.28, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23563, dataNode*segment*insertBufSize: 264701140, rootCoord*minSegmentSizeToEnableIndex: 100} 136.56395463459194 409.2531371600926 11.554730774834752 86.54463868408924 0.9965999999999999 450
[35] 15414 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1041, dataCoord*segment*sealProportion: 0.27, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24634, dataNode*segment*insertBufSize: 332532076, rootCoord*minSegmentSizeToEnableIndex: 1239} 129.76231944933534 431.914066137746 4.485150562599301 222.9579556010412 0.9985999999999999 460
[36] 15850 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 943, dataCoord*segment*sealProportion: 0.3, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24890, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 1404} 130.99831217713654 410.7448992393911 2.1675767693668604 461.34467490722164 0.7289000000000001 435
[37] 16278 {index_type: IVF_PQ, nlist: 2267, nprobe: 33, m: 8, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 589, dataCoord*segment*sealProportion: 0.41, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23851, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 558} 127.63691715709865 402.6514667291194 2.512904714792967 397.9458489266228 0.10660000000000001 428
[38] 16802 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 31, efConstruction: 305, ef: 494, reorder_k: 500} {dataCoord*segment*maxSize: 765, dataCoord*segment*sealProportion: 0.39, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24857, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 123.37908942997456 493.7936371322721 6.499450273811817 153.85916621737871 0.9973 523
[39] 17204 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 722, dataCoord*segment*sealProportion: 0.35, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 24071, dataNode*segment*insertBufSize: 53827080, rootCoord*minSegmentSizeToEnableIndex: 693} 127.75713579915464 371.8066971357912 5.162747945636511 193.69529764574065 0.999 401
[40] 17683 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 1283, dataCoord*segment*sealProportion: 0.23, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 26022, dataNode*segment*insertBufSize: 284533689, rootCoord*minSegmentSizeToEnableIndex: 762} 133.07156360894442 455.39518924988806 2.1868440713733435 457.279973954429 0.687 479
[41] 18187 {index_type: IVF_PQ, nlist: 1731, nprobe: 39, m: 8, nbits: 7, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.37, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 29714, dataNode*segment*insertBufSize: 1000, rootCoord*minSegmentSizeToEnableIndex: 100} 141.67118384875357 474.5664577912539 3.7382882963865995 267.5021081082998 0.0824 503
[42] 18785 {index_type: HNSW, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 28, efConstruction: 340, ef: 475, reorder_k: 500} {dataCoord*segment*maxSize: 1130, dataCoord*segment*sealProportion: 0.37, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 22952, dataNode*segment*insertBufSize: 1299137747, rootCoord*minSegmentSizeToEnableIndex: 100} 120.35121081024408 566.9139970541 6.361747531220317 157.1895135876571 0.9965 598
[43] 19228 {index_type: SCANN, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 499} {dataCoord*segment*maxSize: 1161, dataCoord*segment*sealProportion: 0.37, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 21253, dataNode*segment*insertBufSize: 1681125101, rootCoord*minSegmentSizeToEnableIndex: 638} 137.6149683650583 410.9203450344503 4.982683930546045 200.69504988457322 0.9973 443
[44] 19662 {index_type: AUTOINDEX, nlist: 128, nprobe: 7, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.39, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 23687, dataNode*segment*insertBufSize: 1812659724, rootCoord*minSegmentSizeToEnableIndex: 2054} 142.92596170865 408.65023000724614 3.5623335279524326 280.71487191003774 0.8949000000000001 434
[45] 20083 {index_type: IVF_PQ, nlist: 1, nprobe: 1, m: 10, nbits: 8, M: 32, efConstruction: 256, ef: 500, reorder_k: 500} {dataCoord*segment*maxSize: 100, dataCoord*segment*sealProportion: 0.21, queryCoord*autoHandoff: True, queryCoord*autoBalance: True, common*gracefulTime: 11680, dataNode*segment*insertBufSize: 256504012, rootCoord*minSegmentSizeToEnableIndex: 1182} 149.14501195028424 397.8376452066004 2.621377358213067 381.47884236006263 0.0807 420
